"Population (5 years and older) by Severity, Locality, Education, Geographic_Area, Sex and Age"

"Severity","Locality","Education","Geographic_Area","Sex","5-9","10-14","15-17","18-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95-99","100+"
"No difficulty","Urban","Tertiary - Master's Degree","Savelugu Municipal","Male",0,0,0,0,4,8,21,24,24,14,8,5,4,3,0,0,0,0,0,0,0
"No difficulty","Urban","Tertiary - Master's Degree","Savelugu Municipal","Female",0,0,0,0,0,1,2,7,0,0,0,2,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Tertiary - PhD","Savelugu Municipal","Male",0,0,0,0,0,1,1,2,3,1,2,1,1,0,0,0,0,0,0,0,0
"No difficulty","Urban","Tertiary - PhD","Savelugu Municipal","Female",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Other (specify)","Savelugu Municipal","Male",0,0,0,0,3,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0
"No difficulty","Urban","Other (specify)","Savelugu Municipal","Female",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Never attended","Savelugu Municipal","Male",38,17,12,11,15,19,29,27,48,41,55,40,58,39,50,42,43,25,8,3,3
"Some difficulty in at least one domain","Rural","Never attended","Savelugu Municipal","Female",31,21,17,7,38,50,64,67,80,69,73,51,66,29,73,56,77,25,11,1,3
"Some difficulty in at least one domain","Rural","Nursery","Savelugu Municipal","Male",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Nursery","Savelugu Municipal","Female",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Kindergarten","Savelugu Municipal","Male",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Kindergarten","Savelugu Municipal","Female",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Primary","Savelugu Municipal","Male",71,51,5,1,8,3,2,7,2,2,1,3,1,1,0,1,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Primary","Savelugu Municipal","Female",54,32,4,2,1,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","JSS/JHS","Savelugu Municipal","Male",0,8,15,4,7,4,8,6,9,0,1,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","JSS/JHS","Savelugu Municipal","Female",0,7,6,1,6,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Middle","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Middle","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","SSS/SHS","Savelugu Municipal","Male",0,1,4,2,8,8,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","SSS/SHS","Savelugu Municipal","Female",0,0,1,2,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Secondary","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Secondary","Savelugu Municipal","Female",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Voc/technical/commercial","Savelugu Municipal","Male",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Voc/technical/commercial","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Post middle/secondary Certificate","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Post middle/secondary Certificate","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Post middle/secondary Diploma","Savelugu Municipal","Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Post middle/secondary Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary/HND","Savelugu Municipal","Male",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary/HND","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary - Bachelor's Degree","Savelugu Municipal","Male",0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary - Bachelor's Degree","Savelugu Municipal","Female",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Male",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Some difficulty in at least one domain","Rural","Tertiary - Post graduate Certificate/Diploma","Savelugu Municipal","Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
